     index            Field [G]         Intensity []

         1               3336.2               162802
         2     3336.21955034213               163607
         3     3336.23910068426               163360
         4     3336.25865102639               163597
         5     3336.27820136852               164489
         6     3336.29775171065               165474
         7     3336.31730205279               165920
         8     3336.33685239492               165767
         9     3336.35640273705               166019
        10     3336.37595307918               166303
        11     3336.39550342131               167888
        12     3336.41505376344               169204
        13     3336.43460410557               169311
        14      3336.4541544477               168612
        15     3336.47370478983               169782
        16     3336.49325513196               169738
        17      3336.5128054741               171058
        18     3336.53235581623               173078
        19     3336.55190615836               172960
        20     3336.57145650049               173193
        21     3336.59100684262               173435
        22     3336.61055718475               173160
        23     3336.63010752688               174224
        24     3336.64965786901               175435
        25     3336.66920821114               176625
        26     3336.68875855327               176942
        27     3336.70830889541               176968
        28     3336.72785923754               177500
        29     3336.74740957967               179232
        30      3336.7669599218               178980
        31     3336.78651026393               178936
        32     3336.80606060606               179688
        33     3336.82561094819               181138
        34     3336.84516129032               182031
        35     3336.86471163245               182337
        36     3336.88426197458               182140
        37     3336.90381231672               182700
        38     3336.92336265885               184205
        39     3336.94291300098               185654
        40     3336.96246334311               184891
        41     3336.98201368524               185210
        42     3337.00156402737               187541
        43      3337.0211143695               187867
        44     3337.04066471163               187365
        45     3337.06021505376               187862
        46     3337.07976539589               189163
        47     3337.09931573803               189650
        48     3337.11886608016               190003
        49     3337.13841642229               191411
        50     3337.15796676442               192238
        51     3337.17751710655               192043
        52     3337.19706744868               192915
        53     3337.21661779081               194011
        54     3337.23616813294               194765
        55     3337.25571847507               194742
        56      3337.2752688172               195962
        57     3337.29481915934               196678
        58     3337.31436950147               197696
        59      3337.3339198436               197711
        60     3337.35347018573               198475
        61     3337.37302052786               198756
        62     3337.39257086999               199450
        63     3337.41212121212               200488
        64     3337.43167155425               201582
        65     3337.45122189638               202060
        66     3337.47077223851               202991
        67     3337.49032258065               203923
        68     3337.50987292278               204175
        69     3337.52942326491               205010
        70     3337.54897360704               205818
        71     3337.56852394917               206466
        72      3337.5880742913               206475
        73     3337.60762463343               207548
        74     3337.62717497556               208906
        75     3337.64672531769               209446
        76     3337.66627565982               210219
        77     3337.68582600195               210164
        78     3337.70537634409               211888
        79     3337.72492668622               212435
        80     3337.74447702835               212787
        81     3337.76402737048               214144
        82     3337.78357771261               215199
        83     3337.80312805474               215810
        84     3337.82267839687               216176
        85       3337.842228739               216825
        86     3337.86177908113               216755
        87     3337.88132942326               218548
        88      3337.9008797654               220047
        89     3337.92043010753               220623
        90     3337.93998044966               220672
        91     3337.95953079179               221323
        92     3337.97908113392               222725
        93     3337.99863147605               224396
        94     3338.01818181818               224355
        95     3338.03773216031               223775
        96     3338.05728250244               225716
        97     3338.07683284457               227443
        98     3338.09638318671               226598
        99     3338.11593352884               228047
       100     3338.13548387097               230815
       101      3338.1550342131               231495
       102     3338.17458455523               231337
       103     3338.19413489736               231372
       104     3338.21368523949               231013
       105     3338.23323558162               232306
       106     3338.25278592375               234565
       107     3338.27233626588               236998
       108     3338.29188660802               237615
       109     3338.31143695015               237888
       110     3338.33098729228               236731
       111     3338.35053763441               238359
       112     3338.37008797654               239188
       113     3338.38963831867               240929
       114      3338.4091886608               241842
       115     3338.42873900293               243397
       116     3338.44828934506               243533
       117     3338.46783968719               246017
       118     3338.48739002933               245630
       119     3338.50694037146               246140
       120     3338.52649071359               247052
       121     3338.54604105572               248171
       122     3338.56559139785               249910
       123     3338.58514173998               250962
       124     3338.60469208211               251710
       125     3338.62424242424               252127
       126     3338.64379276637               253382
       127      3338.6633431085               254826
       128     3338.68289345064               256879
       129     3338.70244379277               256642
       130      3338.7219941349               257216
       131     3338.74154447703               258534
       132     3338.76109481916               259294
       133     3338.78064516129               260815
       134     3338.80019550342               261483
       135     3338.81974584555               263958
       136     3338.83929618768               265297
       137     3338.85884652981               264467
       138     3338.87839687194               266917
       139     3338.89794721408               268111
       140     3338.91749755621               269031
       141     3338.93704789834               269733
       142     3338.95659824047               270519
       143      3338.9761485826               272326
       144     3338.99569892473               272842
       145     3339.01524926686               275142
       146     3339.03479960899               276594
       147     3339.05434995112               277639
       148     3339.07390029326               278720
       149     3339.09345063539               279654
       150     3339.11300097752               279784
       151     3339.13255131965               280978
       152     3339.15210166178               285437
       153     3339.17165200391               284722
       154     3339.19120234604               283936
       155     3339.21075268817               285701
       156      3339.2303030303               287445
       157     3339.24985337243               288888
       158     3339.26940371456               290184
       159      3339.2889540567               292408
       160     3339.30850439883               292324
       161     3339.32805474096               296090
       162     3339.34760508309               296635
       163     3339.36715542522               297834
       164     3339.38670576735               298671
       165     3339.40625610948               299606
       166     3339.42580645161               300605
       167     3339.44535679374               301381
       168     3339.46490713587               303609
       169     3339.48445747801               307006
       170     3339.50400782014               307129
       171     3339.52355816227               307876
       172      3339.5431085044               309366
       173     3339.56265884653               311657
       174     3339.58220918866               311783
       175     3339.60175953079               314680
       176     3339.62130987292               316633
       177     3339.64086021505               317200
       178     3339.66041055718               317066
       179     3339.67996089932               318084
       180     3339.69951124145               321501
       181     3339.71906158358               323276
       182     3339.73861192571               326681
       183     3339.75816226784               327661
       184     3339.77771260997               328241
       185      3339.7972629521               329575
       186     3339.81681329423               329894
       187     3339.83636363636               330594
       188     3339.85591397849               335788
       189     3339.87546432063               337813
       190     3339.89501466276               336684
       191     3339.91456500489               339695
       192     3339.93411534702               341175
       193     3339.95366568915               342170
       194     3339.97321603128               343087
       195     3339.99276637341               346986
       196     3340.01231671554               349068
       197     3340.03186705767               350612
       198      3340.0514173998               351092
       199     3340.07096774194               352950
       200     3340.09051808407               353429
       201      3340.1100684262               354739
       202     3340.12961876833               360789
       203     3340.14916911046               361208
       204     3340.16871945259               361622
       205     3340.18826979472               363812
       206     3340.20782013685               367826
       207     3340.22737047898               369300
       208     3340.24692082111               370868
       209     3340.26647116325               372926
       210     3340.28602150538               373998
       211     3340.30557184751               376381
       212     3340.32512218964               378589
       213     3340.34467253177               379546
       214      3340.3642228739               380550
       215     3340.38377321603               383527
       216     3340.40332355816               387547
       217     3340.42287390029               390900
       218     3340.44242424242               393142
       219     3340.46197458456               392639
       220     3340.48152492669               394519
       221     3340.50107526882               399784
       222     3340.52062561095               400372
       223     3340.54017595308               398914
       224     3340.55972629521               401659
       225     3340.57927663734               406806
       226     3340.59882697947               410628
       227      3340.6183773216               412452
       228     3340.63792766373               414433
       229     3340.65747800586               416879
       230       3340.677028348               418848
       231     3340.69657869013               420761
       232     3340.71612903226               424380
       233     3340.73567937439               427260
       234     3340.75522971652               427995
       235     3340.77478005865               430145
       236     3340.79433040078               435358
       237     3340.81388074291               437034
       238     3340.83343108504               438221
       239     3340.85298142717               441749
       240     3340.87253176931               445731
       241     3340.89208211144               445451
       242     3340.91163245357               446577
       243      3340.9311827957               451917
       244     3340.95073313783               457425
       245     3340.97028347996               457416
       246     3340.98983382209               460359
       247     3341.00938416422               465207
       248     3341.02893450635               465904
       249     3341.04848484848               468856
       250     3341.06803519062               472456
       251     3341.08758553275               475099
       252     3341.10713587488               481195
       253     3341.12668621701               484248
       254     3341.14623655914               484025
       255     3341.16578690127               487307
       256      3341.1853372434               490434
       257     3341.20488758553               494570
       258     3341.22443792766               497747
       259     3341.24398826979               500032
       260     3341.26353861193               502816
       261     3341.28308895406               505632
       262     3341.30263929619               511925
       263     3341.32218963832               517307
       264     3341.34173998045               517406
       265     3341.36129032258               519205
       266     3341.38084066471               525927
       267     3341.40039100684               529076
       268     3341.41994134897               531320
       269      3341.4394916911               535790
       270     3341.45904203324               539515
       271     3341.47859237537               544438
       272      3341.4981427175               548620
       273     3341.51769305963               549647
       274     3341.53724340176               554563
       275     3341.55679374389               559771
       276     3341.57634408602               562114
       277     3341.59589442815               562254
       278     3341.61544477028               568452
       279     3341.63499511241               572456
       280     3341.65454545455               581084
       281     3341.67409579668               584547
       282     3341.69364613881               589416
       283     3341.71319648094               593811
       284     3341.73274682307               597996
       285      3341.7522971652               599900
       286     3341.77184750733               604665
       287     3341.79139784946               605982
       288     3341.81094819159               612088
       289     3341.83049853372               615847
       290     3341.85004887586               624154
       291     3341.86959921799               630587
       292     3341.88914956012               634263
       293     3341.90869990225               638417
       294     3341.92825024438               641137
       295     3341.94780058651               647430
       296     3341.96735092864               653697
       297     3341.98690127077               658931
       298      3342.0064516129               664289
       299     3342.02600195503               667083
       300     3342.04555229717               675248
       301      3342.0651026393               681194
       302     3342.08465298143               685301
       303     3342.10420332356               691678
       304     3342.12375366569               697002
       305     3342.14330400782               703238
       306     3342.16285434995               709187
       307     3342.18240469208               715575
       308     3342.20195503421               721509
       309     3342.22150537634               725133
       310     3342.24105571847               733100
       311     3342.26060606061               740403
       312     3342.28015640274               746416
       313     3342.29970674487               753074
       314       3342.319257087               757455
       315     3342.33880742913               762872
       316     3342.35835777126               772669
       317     3342.37790811339               778345
       318     3342.39745845552               787341
       319     3342.41700879765               793969
       320     3342.43655913978               802185
       321     3342.45610948192               807060
       322     3342.47565982405               808315
       323     3342.49521016618               819668
       324     3342.51476050831               832506
       325     3342.53431085044               837370
       326     3342.55386119257               849238
       327      3342.5734115347               850749
       328     3342.59296187683               855434
       329     3342.61251221896               868249
       330     3342.63206256109               877760
       331     3342.65161290323               887134
       332     3342.67116324536               894795
       333     3342.69071358749               901645
       334     3342.71026392962               909371
       335     3342.72981427175               924275
       336     3342.74936461388               932452
       337     3342.76891495601               941042
       338     3342.78846529814               948791
       339     3342.80801564027               955370
       340      3342.8275659824               966341
       341     3342.84711632454               978042
       342     3342.86666666667               989633
       343      3342.8862170088               998434
       344     3342.90576735093              1008631
       345     3342.92531769306              1015627
       346     3342.94486803519              1028131
       347     3342.96441837732              1038334
       348     3342.98396871945              1051805
       349     3343.00351906158              1063896
       350     3343.02306940371              1076516
       351     3343.04261974585              1085430
       352     3343.06217008798              1096004
       353     3343.08172043011              1108291
       354     3343.10127077224              1123261
       355     3343.12082111437              1134366
       356      3343.1403714565              1151072
       357     3343.15992179863              1167479
       358     3343.17947214076              1175607
       359     3343.19902248289              1188018
       360     3343.21857282502              1201620
       361     3343.23812316716              1216810
       362     3343.25767350929              1231976
       363     3343.27722385142              1245999
       364     3343.29677419355              1262128
       365     3343.31632453568              1277050
       366     3343.33587487781              1291829
       367     3343.35542521994              1299670
       368     3343.37497556207              1322430
       369      3343.3945259042              1336387
       370     3343.41407624633              1354527
       371     3343.43362658846              1372100
       372      3343.4531769306              1388736
       373     3343.47272727273              1399279
       374     3343.49227761486              1421296
       375     3343.51182795699              1446257
       376     3343.53137829912              1467386
       377     3343.55092864125              1485001
       378     3343.57047898338              1500310
       379     3343.59002932551              1519056
       380     3343.60957966764              1540433
       381     3343.62913000978              1559944
       382     3343.64868035191              1580665
       383     3343.66823069404              1599441
       384     3343.68778103617              1623774
       385      3343.7073313783              1644416
       386     3343.72688172043              1664878
       387     3343.74643206256              1693370
       388     3343.76598240469              1720710
       389     3343.78553274682              1741775
       390     3343.80508308895              1767159
       391     3343.82463343108              1792108
       392     3343.84418377322              1817419
       393     3343.86373411535              1848982
       394     3343.88328445748              1878286
       395     3343.90283479961              1894474
       396     3343.92238514174              1922779
       397     3343.94193548387              1952862
       398       3343.961485826              1983488
       399     3343.98103616813              2021219
