index	Field	Intensity
1	3450	4499.621094
2	3450.097752	5352.621094
3	3450.195503	4390.621094
4	3450.293255	1843.621094
5	3450.391007	3148.621094
6	3450.488759	3454.621094
7	3450.58651	3355.621094
8	3450.684262	2418.621094
9	3450.782014	4205.621094
10	3450.879765	3336.621094
11	3450.977517	3831.621094
12	3451.075269	3649.621094
13	3451.173021	5169.621094
14	3451.270772	4537.621094
15	3451.368524	5017.621094
16	3451.466276	5020.621094
17	3451.564027	5465.621094
18	3451.661779	3301.621094
19	3451.759531	5261.621094
20	3451.857283	4690.621094
21	3451.955034	4816.621094
22	3452.052786	5152.621094
23	3452.150538	3628.621094
24	3452.248289	3526.621094
25	3452.346041	3572.621094
26	3452.443793	4582.621094
27	3452.541544	3600.621094
28	3452.639296	4827.621094
29	3452.737048	3365.621094
30	3452.8348	1958.621094
31	3452.932551	2772.621094
32	3453.030303	2667.621094
33	3453.128055	3289.621094
34	3453.225806	3551.621094
35	3453.323558	3095.621094
36	3453.42131	1997.621094
37	3453.519062	4154.621094
38	3453.616813	2313.621094
39	3453.714565	3444.621094
40	3453.812317	2387.621094
41	3453.910068	2142.621094
42	3454.00782	1799.621094
43	3454.105572	432.6210938
44	3454.203324	1371.621094
45	3454.301075	1297.621094
46	3454.398827	1704.621094
47	3454.496579	1190.621094
48	3454.59433	551.6210938
49	3454.692082	1004.621094
50	3454.789834	3798.621094
51	3454.887586	794.6210938
52	3454.985337	1303.621094
53	3455.083089	1295.621094
54	3455.180841	1296.621094
55	3455.278592	-691.3789063
56	3455.376344	1260.621094
57	3455.474096	374.6210938
58	3455.571848	1068.621094
59	3455.669599	409.6210938
60	3455.767351	994.6210938
61	3455.865103	468.6210938
62	3455.962854	53.62109375
63	3456.060606	-287.3789063
64	3456.158358	2102.621094
65	3456.256109	580.6210938
66	3456.353861	-91.37890625
67	3456.451613	22.62109375
68	3456.549365	2505.621094
69	3456.647116	1458.621094
70	3456.744868	1699.621094
71	3456.84262	-105.3789063
72	3456.940371	2326.621094
73	3457.038123	1034.621094
74	3457.135875	-170.3789063
75	3457.233627	934.6210938
76	3457.331378	161.6210938
77	3457.42913	1050.621094
78	3457.526882	2312.621094
79	3457.624633	-648.3789063
80	3457.722385	-95.37890625
81	3457.820137	-940.3789063
82	3457.917889	-266.3789063
83	3458.01564	-1247.378906
84	3458.113392	861.6210938
85	3458.211144	-357.3789063
86	3458.308895	390.6210938
87	3458.406647	686.6210938
88	3458.504399	2887.621094
89	3458.602151	1477.621094
90	3458.699902	1785.621094
91	3458.797654	2614.621094
92	3458.895406	1448.621094
93	3458.993157	1036.621094
94	3459.090909	1153.621094
95	3459.188661	1436.621094
96	3459.286413	1606.621094
97	3459.384164	1783.621094
98	3459.481916	395.6210938
99	3459.579668	1370.621094
100	3459.677419	1684.621094
101	3459.775171	1554.621094
102	3459.872923	175.6210938
103	3459.970674	2876.621094
104	3460.068426	1104.621094
105	3460.166178	2720.621094
106	3460.26393	1777.621094
107	3460.361681	1749.621094
108	3460.459433	452.6210938
109	3460.557185	2016.621094
110	3460.654936	2183.621094
111	3460.752688	1212.621094
112	3460.85044	1479.621094
113	3460.948192	835.6210938
114	3461.045943	-563.3789063
115	3461.143695	453.6210938
116	3461.241447	574.6210938
117	3461.339198	959.6210938
118	3461.43695	659.6210938
119	3461.534702	848.6210938
120	3461.632454	-337.3789063
121	3461.730205	1183.621094
122	3461.827957	-121.3789063
123	3461.925709	989.6210938
124	3462.02346	543.6210938
125	3462.121212	1241.621094
126	3462.218964	1182.621094
127	3462.316716	1974.621094
128	3462.414467	1605.621094
129	3462.512219	3316.621094
130	3462.609971	1983.621094
131	3462.707722	4004.621094
132	3462.805474	2190.621094
133	3462.903226	2846.621094
134	3463.000978	3661.621094
135	3463.098729	2770.621094
136	3463.196481	3737.621094
137	3463.294233	2146.621094
138	3463.391984	2568.621094
139	3463.489736	1873.621094
140	3463.587488	2379.621094
141	3463.685239	2206.621094
142	3463.782991	2694.621094
143	3463.880743	1642.621094
144	3463.978495	2135.621094
145	3464.076246	2047.621094
146	3464.173998	2325.621094
147	3464.27175	2422.621094
148	3464.369501	1859.621094
149	3464.467253	1832.621094
150	3464.565005	3117.621094
151	3464.662757	5139.621094
152	3464.760508	4774.621094
153	3464.85826	5927.621094
154	3464.956012	5841.621094
155	3465.053763	6626.621094
156	3465.151515	5935.621094
157	3465.249267	6638.621094
158	3465.347019	6124.621094
159	3465.44477	6789.621094
160	3465.542522	6020.621094
161	3465.640274	7048.621094
162	3465.738025	8284.621094
163	3465.835777	8066.621094
164	3465.933529	8534.621094
165	3466.031281	6628.621094
166	3466.129032	8025.621094
167	3466.226784	7691.621094
168	3466.324536	7817.621094
169	3466.422287	8126.621094
170	3466.520039	7346.621094
171	3466.617791	9188.621094
172	3466.715543	9298.621094
173	3466.813294	10234.62109
174	3466.911046	9354.621094
175	3467.008798	9927.621094
176	3467.106549	10682.62109
177	3467.204301	10496.62109
178	3467.302053	11508.62109
179	3467.399804	11102.62109
180	3467.497556	10647.62109
181	3467.595308	11713.62109
182	3467.69306	10351.62109
183	3467.790811	11101.62109
184	3467.888563	10185.62109
185	3467.986315	11091.62109
186	3468.084066	10719.62109
187	3468.181818	12331.62109
188	3468.27957	12198.62109
189	3468.377322	10835.62109
190	3468.475073	11981.62109
191	3468.572825	11402.62109
192	3468.670577	12271.62109
193	3468.768328	12387.62109
194	3468.86608	12057.62109
195	3468.963832	11962.62109
196	3469.061584	12765.62109
197	3469.159335	12663.62109
198	3469.257087	11166.62109
199	3469.354839	11497.62109
200	3469.45259	12077.62109
201	3469.550342	10395.62109
202	3469.648094	9309.621094
203	3469.745846	10722.62109
204	3469.843597	10211.62109
205	3469.941349	7667.621094
206	3470.039101	8946.621094
207	3470.136852	4912.621094
208	3470.234604	6588.621094
209	3470.332356	5418.621094
210	3470.430108	4713.621094
211	3470.527859	4682.621094
212	3470.625611	3723.621094
213	3470.723363	3485.621094
214	3470.821114	4065.621094
215	3470.918866	3149.621094
216	3471.016618	3508.621094
217	3471.11437	3170.621094
218	3471.212121	4879.621094
219	3471.309873	4446.621094
220	3471.407625	5566.621094
221	3471.505376	4426.621094
222	3471.603128	2814.621094
223	3471.70088	4687.621094
224	3471.798631	4948.621094
225	3471.896383	4729.621094
226	3471.994135	5119.621094
227	3472.091887	6825.621094
228	3472.189638	5976.621094
229	3472.28739	5784.621094
230	3472.385142	4677.621094
231	3472.482893	4824.621094
232	3472.580645	3165.621094
233	3472.678397	5038.621094
234	3472.776149	3468.621094
235	3472.8739	2454.621094
236	3472.971652	978.6210938
237	3473.069404	510.6210938
238	3473.167155	-23.37890625
239	3473.264907	2307.621094
240	3473.362659	2033.621094
241	3473.460411	316.6210938
242	3473.558162	1316.621094
243	3473.655914	-1240.378906
244	3473.753666	-857.3789063
245	3473.851417	-150.3789063
246	3473.949169	373.6210938
247	3474.046921	-648.3789063
248	3474.144673	2651.621094
249	3474.242424	561.6210938
250	3474.340176	334.6210938
251	3474.437928	2398.621094
252	3474.535679	207.6210938
253	3474.633431	3331.621094
254	3474.731183	2976.621094
255	3474.828935	2176.621094
256	3474.926686	971.6210938
257	3475.024438	916.6210938
258	3475.12219	-675.3789063
259	3475.219941	-674.3789063
260	3475.317693	140.6210938
261	3475.415445	-2512.378906
262	3475.513196	-2842.378906
263	3475.610948	-3554.378906
264	3475.7087	-3797.378906
265	3475.806452	-4174.378906
266	3475.904203	-4533.378906
267	3476.001955	-6042.378906
268	3476.099707	-4511.378906
269	3476.197458	-6178.378906
270	3476.29521	-5258.378906
271	3476.392962	-4698.378906
272	3476.490714	-3539.378906
273	3476.588465	-5025.378906
274	3476.686217	-3234.378906
275	3476.783969	-4307.378906
276	3476.88172	-4688.378906
277	3476.979472	-4533.378906
278	3477.077224	-2075.378906
279	3477.174976	-2401.378906
280	3477.272727	-1831.378906
281	3477.370479	-697.3789063
282	3477.468231	-2920.378906
283	3477.565982	-2077.378906
284	3477.663734	-2413.378906
285	3477.761486	-1717.378906
286	3477.859238	-3245.378906
287	3477.956989	-1921.378906
288	3478.054741	-3338.378906
289	3478.152493	-3518.378906
290	3478.250244	-2570.378906
291	3478.347996	-5117.378906
292	3478.445748	-3345.378906
293	3478.5435	-3980.378906
294	3478.641251	-4085.378906
295	3478.739003	-4295.378906
296	3478.836755	-5840.378906
297	3478.934506	-5414.378906
298	3479.032258	-5473.378906
299	3479.13001	-6490.378906
300	3479.227761	-7145.378906
301	3479.325513	-6107.378906
302	3479.423265	-7479.378906
303	3479.521017	-7353.378906
304	3479.618768	-6307.378906
305	3479.71652	-8244.378906
306	3479.814272	-7789.378906
307	3479.912023	-7561.378906
308	3480.009775	-9295.378906
309	3480.107527	-8008.378906
310	3480.205279	-8447.378906
311	3480.30303	-7764.378906
312	3480.400782	-7712.378906
313	3480.498534	-7535.378906
314	3480.596285	-5586.378906
315	3480.694037	-6755.378906
316	3480.791789	-5371.378906
317	3480.889541	-6206.378906
318	3480.987292	-5218.378906
319	3481.085044	-6309.378906
320	3481.182796	-3927.378906
321	3481.280547	-6015.378906
322	3481.378299	-4352.378906
323	3481.476051	-4223.378906
324	3481.573803	-3410.378906
325	3481.671554	-3758.378906
326	3481.769306	-4796.378906
327	3481.867058	-2452.378906
328	3481.964809	-3704.378906
329	3482.062561	-3998.378906
330	3482.160313	-3562.378906
331	3482.258065	-502.3789063
332	3482.355816	-2183.378906
333	3482.453568	-1625.378906
334	3482.55132	-1171.378906
335	3482.649071	-632.3789063
336	3482.746823	-1821.378906
337	3482.844575	-1095.378906
338	3482.942326	-841.3789063
339	3483.040078	-835.3789063
340	3483.13783	678.6210938
341	3483.235582	1559.621094
342	3483.333333	92.62109375
343	3483.431085	1040.621094
344	3483.528837	1307.621094
345	3483.626588	1694.621094
346	3483.72434	-813.3789063
347	3483.822092	447.6210938
348	3483.919844	-20.37890625
349	3484.017595	-1550.378906
350	3484.115347	721.6210938
351	3484.213099	1053.621094
352	3484.31085	369.6210938
353	3484.408602	-559.3789063
354	3484.506354	1245.621094
355	3484.604106	619.6210938
356	3484.701857	-548.3789063
357	3484.799609	2218.621094
358	3484.897361	438.6210938
359	3484.995112	1498.621094
360	3485.092864	392.6210938
361	3485.190616	-876.3789063
362	3485.288368	100.6210938
363	3485.386119	-892.3789063
364	3485.483871	-2815.378906
365	3485.581623	-3522.378906
366	3485.679374	-2446.378906
367	3485.777126	-2286.378906
368	3485.874878	124.6210938
369	3485.97263	-1206.378906
370	3486.070381	-3328.378906
371	3486.168133	-2624.378906
372	3486.265885	-2113.378906
373	3486.363636	216.6210938
374	3486.461388	-651.3789063
375	3486.55914	-772.3789063
376	3486.656891	-1371.378906
377	3486.754643	-1369.378906
378	3486.852395	-2995.378906
379	3486.950147	-2395.378906
380	3487.047898	-2634.378906
381	3487.14565	-897.3789063
382	3487.243402	-1109.378906
383	3487.341153	-2461.378906
384	3487.438905	-987.3789063
385	3487.536657	-1180.378906
386	3487.634409	-2242.378906
387	3487.73216	-3156.378906
388	3487.829912	-2599.378906
389	3487.927664	-1467.378906
390	3488.025415	-3583.378906
391	3488.123167	-3128.378906
392	3488.220919	-4255.378906
393	3488.318671	-2895.378906
394	3488.416422	-3681.378906
395	3488.514174	-4224.378906
396	3488.611926	-3377.378906
397	3488.709677	-3901.378906
398	3488.807429	-2695.378906
399	3488.905181	-5520.378906
400	3489.002933	-4176.378906
401	3489.100684	-5342.378906
402	3489.198436	-4859.378906
403	3489.296188	-5872.378906
404	3489.393939	-4613.378906
405	3489.491691	-5801.378906
406	3489.589443	-7134.378906
407	3489.687195	-6860.378906
408	3489.784946	-5297.378906
409	3489.882698	-4983.378906
410	3489.98045	-6133.378906
411	3490.078201	-4844.378906
412	3490.175953	-6314.378906
413	3490.273705	-4510.378906
414	3490.371457	-4298.378906
415	3490.469208	-4622.378906
416	3490.56696	-4407.378906
417	3490.664712	-5826.378906
418	3490.762463	-4897.378906
419	3490.860215	-4316.378906
420	3490.957967	-3724.378906
421	3491.055718	-4816.378906
422	3491.15347	-5064.378906
423	3491.251222	-4058.378906
424	3491.348974	-3857.378906
425	3491.446725	-4428.378906
426	3491.544477	-3299.378906
427	3491.642229	-4018.378906
428	3491.73998	-2829.378906
429	3491.837732	-3237.378906
430	3491.935484	-3584.378906
431	3492.033236	-2003.378906
432	3492.130987	-2494.378906
433	3492.228739	-4300.378906
434	3492.326491	-3309.378906
435	3492.424242	-4562.378906
436	3492.521994	-2667.378906
437	3492.619746	-2927.378906
438	3492.717498	-2268.378906
439	3492.815249	-4190.378906
440	3492.913001	-3894.378906
441	3493.010753	-1947.378906
442	3493.108504	-959.3789063
443	3493.206256	-2088.378906
444	3493.304008	-2964.378906
445	3493.40176	-2123.378906
446	3493.499511	-1177.378906
447	3493.597263	-2252.378906
448	3493.695015	-2276.378906
449	3493.792766	-2495.378906
450	3493.890518	-1922.378906
451	3493.98827	-3732.378906
452	3494.086022	-2318.378906
453	3494.183773	-1166.378906
454	3494.281525	-2549.378906
455	3494.379277	-2563.378906
456	3494.477028	-2037.378906
457	3494.57478	-2046.378906
458	3494.672532	-722.3789063
459	3494.770283	-1337.378906
460	3494.868035	-1622.378906
461	3494.965787	514.6210938
462	3495.063539	-1343.378906
463	3495.16129	-135.3789063
464	3495.259042	129.6210938
465	3495.356794	-1058.378906
466	3495.454545	-1255.378906
467	3495.552297	-828.3789063
468	3495.650049	-1047.378906
469	3495.747801	-1038.378906
470	3495.845552	442.6210938
471	3495.943304	39.62109375
472	3496.041056	1557.621094
473	3496.138807	1222.621094
474	3496.236559	1054.621094
475	3496.334311	1369.621094
476	3496.432063	2642.621094
477	3496.529814	2006.621094
478	3496.627566	3559.621094
479	3496.725318	2479.621094
480	3496.823069	2921.621094
481	3496.920821	2141.621094
482	3497.018573	3480.621094
483	3497.116325	3655.621094
484	3497.214076	3792.621094
485	3497.311828	4069.621094
486	3497.40958	1987.621094
487	3497.507331	1421.621094
488	3497.605083	2585.621094
489	3497.702835	1530.621094
490	3497.800587	2268.621094
491	3497.898338	2606.621094
492	3497.99609	198.6210938
493	3498.093842	2522.621094
494	3498.191593	88.62109375
495	3498.289345	1689.621094
496	3498.387097	-540.3789063
497	3498.484848	-1179.378906
498	3498.5826	836.6210938
499	3498.680352	-1238.378906
500	3498.778104	-476.3789063
501	3498.875855	193.6210938
502	3498.973607	31.62109375
503	3499.071359	-62.37890625
504	3499.16911	-941.3789063
505	3499.266862	792.6210938
506	3499.364614	-334.3789063
507	3499.462366	356.6210938
508	3499.560117	-578.3789063
509	3499.657869	963.6210938
510	3499.755621	-266.3789063
511	3499.853372	221.6210938
512	3499.951124	-2159.378906
513	3500.048876	-322.3789063
514	3500.146628	-241.3789063
515	3500.244379	-1767.378906
516	3500.342131	-1843.378906
517	3500.439883	-2825.378906
518	3500.537634	-1300.378906
519	3500.635386	-3345.378906
520	3500.733138	-3165.378906
521	3500.83089	-2513.378906
522	3500.928641	-2446.378906
523	3501.026393	-2649.378906
524	3501.124145	-2807.378906
525	3501.221896	-2477.378906
526	3501.319648	-4860.378906
527	3501.4174	-4228.378906
528	3501.515152	-2527.378906
529	3501.612903	-1859.378906
530	3501.710655	-2680.378906
531	3501.808407	-2261.378906
532	3501.906158	-2143.378906
533	3502.00391	-2333.378906
534	3502.101662	-3528.378906
535	3502.199413	-1638.378906
536	3502.297165	-2333.378906
537	3502.394917	-3286.378906
538	3502.492669	-1253.378906
539	3502.59042	-2490.378906
540	3502.688172	-375.3789063
541	3502.785924	-2491.378906
542	3502.883675	-572.3789063
543	3502.981427	-2716.378906
544	3503.079179	-2529.378906
545	3503.176931	-1055.378906
546	3503.274682	-2047.378906
547	3503.372434	-1637.378906
548	3503.470186	-2260.378906
549	3503.567937	-2829.378906
550	3503.665689	-2256.378906
551	3503.763441	-427.3789063
552	3503.861193	-2429.378906
553	3503.958944	-1088.378906
554	3504.056696	-2928.378906
555	3504.154448	-3992.378906
556	3504.252199	-3063.378906
557	3504.349951	-4374.378906
558	3504.447703	-4906.378906
559	3504.545455	-4949.378906
560	3504.643206	-4516.378906
561	3504.740958	-5555.378906
562	3504.83871	-6019.378906
563	3504.936461	-8299.378906
564	3505.034213	-6575.378906
565	3505.131965	-7771.378906
566	3505.229717	-7166.378906
567	3505.327468	-8981.378906
568	3505.42522	-9478.378906
569	3505.522972	-9992.378906
570	3505.620723	-10955.37891
571	3505.718475	-8437.378906
572	3505.816227	-11944.37891
573	3505.913978	-12452.37891
574	3506.01173	-11484.37891
575	3506.109482	-12423.37891
576	3506.207234	-15407.37891
577	3506.304985	-12344.37891
578	3506.402737	-13520.37891
579	3506.500489	-13265.37891
580	3506.59824	-12713.37891
581	3506.695992	-14889.37891
582	3506.793744	-13361.37891
583	3506.891496	-13858.37891
584	3506.989247	-14633.37891
585	3507.086999	-16356.37891
586	3507.184751	-14474.37891
587	3507.282502	-14423.37891
588	3507.380254	-15316.37891
589	3507.478006	-13808.37891
590	3507.575758	-11882.37891
591	3507.673509	-14291.37891
592	3507.771261	-14254.37891
593	3507.869013	-13552.37891
594	3507.966764	-14106.37891
595	3508.064516	-14878.37891
596	3508.162268	-15335.37891
597	3508.26002	-14723.37891
598	3508.357771	-15731.37891
599	3508.455523	-14966.37891
600	3508.553275	-13735.37891
601	3508.651026	-13514.37891
602	3508.748778	-14947.37891
603	3508.84653	-14350.37891
604	3508.944282	-13960.37891
605	3509.042033	-12358.37891
606	3509.139785	-13167.37891
607	3509.237537	-11414.37891
608	3509.335288	-11477.37891
609	3509.43304	-13186.37891
610	3509.530792	-13238.37891
611	3509.628543	-12631.37891
612	3509.726295	-10656.37891
613	3509.824047	-10288.37891
614	3509.921799	-10607.37891
615	3510.01955	-11474.37891
616	3510.117302	-10209.37891
617	3510.215054	-9446.378906
618	3510.312805	-7516.378906
619	3510.410557	-8134.378906
620	3510.508309	-8801.378906
621	3510.606061	-8514.378906
622	3510.703812	-8920.378906
623	3510.801564	-5777.378906
624	3510.899316	-6692.378906
625	3510.997067	-5024.378906
626	3511.094819	-4282.378906
627	3511.192571	-4777.378906
628	3511.290323	-4000.378906
629	3511.388074	-3193.378906
630	3511.485826	-3520.378906
631	3511.583578	-6268.378906
632	3511.681329	-4008.378906
633	3511.779081	-1843.378906
634	3511.876833	-3378.378906
635	3511.974585	-2866.378906
636	3512.072336	-2307.378906
637	3512.170088	-2348.378906
638	3512.26784	-1453.378906
639	3512.365591	-1680.378906
640	3512.463343	2.62109375
641	3512.561095	-52.37890625
642	3512.658847	-1713.378906
643	3512.756598	-624.3789063
644	3512.85435	-1530.378906
645	3512.952102	-347.3789063
646	3513.049853	987.6210938
647	3513.147605	704.6210938
648	3513.245357	-336.3789063
649	3513.343109	639.6210938
650	3513.44086	13.62109375
651	3513.538612	-320.3789063
652	3513.636364	-978.3789063
653	3513.734115	535.6210938
654	3513.831867	-624.3789063
655	3513.929619	-419.3789063
656	3514.02737	846.6210938
657	3514.125122	773.6210938
658	3514.222874	245.6210938
659	3514.320626	1642.621094
660	3514.418377	1758.621094
661	3514.516129	3191.621094
662	3514.613881	1118.621094
663	3514.711632	-58.37890625
664	3514.809384	-1038.378906
665	3514.907136	1021.621094
666	3515.004888	646.6210938
667	3515.102639	-464.3789063
668	3515.200391	434.6210938
669	3515.298143	1314.621094
670	3515.395894	425.6210938
671	3515.493646	1809.621094
672	3515.591398	302.6210938
